busco_id	scf	length	assignment	assignment_group	fction
10008at50557	NODE_747:14615-31500	909	AX	AX	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10268at50557	NODE_3660:14055-19797	754	Lp	AX-Lp	synaptojanin-1
10268at50557	NODE_1379:24373-29766	786	AX	AX-Lp	synaptojanin-1
10394at50557	NODE_12375:286-8399	675	AX	AX	partitioning defective 3 homolog
10664at50557	NODE_6868:1-6007	871	L	AX-L	importin-5
10664at50557	NODE_6382:144-8785	936	AX	AX-L	importin-5
10915at50557	NODE_3402:7619-17871	492	AX	AX	intraflagellar transport protein 122 homolog
10998at50557	NODE_7852:670-13385	206	Lk	L-Lk	rho guanine nucleotide exchange factor 18
10998at50557	NODE_2559:1-12585	231	L	L-Lk	rho guanine nucleotide exchange factor 18
11128at50557	NODE_9295:3387-10992	710	AX	AX	disheveled-associated activator of morphogenesis 1 isoform X1
11161at50557	NODE_3334:14588-20864	770	Lk	AX-Lk	importin-7
11161at50557	NODE_10571:3236-9719	846	AX	AX-Lk	importin-7
11224at50557	NODE_419:8343-17806	680	L	L	CUB domain
11473at50557	NODE_389:2896-10474	292	Lp	Lp	Zinc finger, RING-type
11478at50557	NODE_874:39753-44530	935	L	AX-L	WD repeat-containing protein 35
11478at50557	NODE_7850:3816-8450	949	AX	AX-L	WD repeat-containing protein 35
11510at50557	NODE_4475:653-12767	975	AX	AX	neuropathy target esterase sws isoform X1
11763at50557	NODE_173:26606-31695	891	L	AX-L	FACT complex subunit spt16 isoform X1
11763at50557	NODE_5932:296-5531	893	AX	AX-L	FACT complex subunit spt16 isoform X1
12010at50557	NODE_402:20187-27258	634	Lk	AX-L-Lk	vacuolar protein sorting-associated protein 54
12010at50557	NODE_1356:28432-31380	638	L	AX-L-Lk	vacuolar protein sorting-associated protein 54
12010at50557	NODE_19154:478-4317	634	AX	AX-L-Lk	vacuolar protein sorting-associated protein 54
12051at50557	NODE_19476:1-4711	749	AX	AX	AP-2 complex subunit alpha
12236at50557	NODE_23098:1-3065	461	AX	AX	Coatomer subunit beta
12466at50557	NODE_85:101851-115408	930	AX	AX-L	DENN domain-containing protein 5B isoform X1
12466at50557	NODE_3:117265-129154	898	L	AX-L	DENN domain-containing protein 5B isoform X1
12503at50557	NODE_348:33452-62778	652	AX	AX	Mediator of RNA polymerase II transcription subunit 13
12555at50557	NODE_5820:6249-15795	445	AX	AX	Ankyrin repeat-containing domain
12735at50557	NODE_32:109229-117804	321	L	AX-L	WD40-repeat-containing domain
12735at50557	NODE_11702:3147-6565	365	AX	AX-L	WD40-repeat-containing domain
12821at50557	NODE_659:1-13165	613	AX	AX	cold shock domain-containing protein E1
13112at50557	NODE_3610:10642-22138	337	AX	AX-L	Toll/interleukin-1 receptor homology (TIR) domain
13112at50557	NODE_2:172145-179361	340	L	AX-L	Toll/interleukin-1 receptor homology (TIR) domain
13158at50557	NODE_26520:1-3060	497	AX	AX	Carboxylesterase, type B
13223at50557	NODE_4175:11135-20387	638	AX	AX	integrator complex subunit 6
13553at50557	NODE_1334:19167-23921	737	AX	AX	WD repeat-containing protein 36
13582at50557	NODE_653:48138-52192	490	L	AX-L	ubiquitin carboxyl-terminal hydrolase 20
13582at50557	NODE_14053:497-7284	474	AX	AX-L	ubiquitin carboxyl-terminal hydrolase 20
13612at50557	NODE_8776:6326-11456	678	AX	AX-Lp	DNA repair protein complementing XP-G cells homolog
13612at50557	NODE_137:56079-65710	729	Lp	AX-Lp	DNA repair protein complementing XP-G cells homolog
13625at50557	NODE_9:84199-88249	723	L	L	periodic tryptophan protein 2 homolog
13778at50557	NODE_5676:1-3415	744	AX	AX-L	protein unc-45 homolog B
13778at50557	NODE_1162:38479-41910	702	L	AX-L	protein unc-45 homolog B
13828at50557	NODE_12:68430-77120	607	Lk	AX-Lk	membrane-bound transcription factor site-1 protease
13828at50557	NODE_11342:7-6095	556	AX	AX-Lk	membrane-bound transcription factor site-1 protease
13892at50557	NODE_7299:10006-13838	698	AX	AX-L	protein O-GlcNAcase isoform X1
13892at50557	NODE_7:56327-60506	709	L	AX-L	protein O-GlcNAcase isoform X1
14125at50557	NODE_9543:5373-11192	541	AX	AX	protein kibra
14133at50557	NODE_7089:4036-12091	524	AX	AX	Zinc finger C2H2 superfamily
14335at50557	NODE_18207:1-4615	703	AX	AX	Exocyst complex component 2
14380at50557	NODE_1545:17019-26060	410	AX	AX	EGF-like calcium-binding, conserved site
14512at50557	NODE_1265:4592-13455	547	L	L	Katanin p80 WD40 repeat-containing subunit B1
14653at50557	NODE_7860:4876-10749	863	AX	AX	protein brunelleschi
14825at50557	NODE_819:27255-43570	795	L	AX-L	Saposin B type domain
14825at50557	NODE_11313:1160-5367	582	AX	AX-L	Saposin B type domain
15309at50557	NODE_26084:165-3144	466	AX	AX	aspartate--tRNA ligase, mitochondrial
15331at50557	NODE_1528:19650-33262	416	Lk	Lk	protein CLEC16A isoform X1
15341at50557	NODE_9369:2766-9557	229	AX	AX	protein phosphatase Slingshot isoform X1
15445at50557	NODE_5837:9188-13501	717	L	AX-L	RNA cytidine acetyltransferase
15445at50557	NODE_18360:155-3946	732	AX	AX-L	RNA cytidine acetyltransferase
15532at50557	NODE_548:548-17186	727	AX	AX	polyphosphoinositide phosphatase
15573at50557	NODE_9642:645-7932	316	AX	AX	Rho GTPase-activating protein 26
15589at50557	NODE_3323:14727-19301	693	AX	AX-L	pre-mRNA-splicing factor SYF1
15589at50557	NODE_660:31429-38324	637	L	AX-L	pre-mRNA-splicing factor SYF1
15684at50557	NODE_3473:10796-17558	788	AX	AX	DNA-directed RNA polymerase
15817at50557	NODE_9192:7376-11043	714	AX	AX	ras GTPase-activating protein 1
15852at50557	NODE_3116:15173-18554	790	AX	AX	pre-mRNA-processing factor 6
16156at50557	NODE_1013:16766-29360	567	AX	AX	nuclear pore complex protein Nup107
16250at50557	NODE_3341:2523-9895	371	AX	AX	NHL repeat-containing protein 2
16279at50557	NODE_1466:10521-18121	678	AX	AX	Protein transport protein SEC23
16323at50557	NODE_7325:723-14215	413	AX	AX	Immunoglobulin-like domain
16683at50557	NODE_3427:20564-24025	653	AX	AX	E3 ubiquitin-protein ligase MARCH6
16714at50557	NODE_486:36857-44507	452	L	AX-L-Lk	phosphatidate phosphatase LPIN2 isoform X1
16714at50557	NODE_745:33990-42940	524	Lk	AX-L-Lk	phosphatidate phosphatase LPIN2 isoform X1
16714at50557	NODE_2947:588-9415	435	AX	AX-L-Lk	phosphatidate phosphatase LPIN2 isoform X1
17115at50557	NODE_19277:601-4505	425	AX	AX	Myotubularin-related protein 10-B
17387at50557	NODE_15031:1290-5315	670	AX	AX	protein HID1
17536at50557	NODE_17914:891-5331	555	AX	AX	atrial natriuretic peptide-converting enzyme
17610at50557	NODE_1143:36494-46409	677	AX	AX	AP-1 complex subunit gamma
17628at50557	NODE_9327:851-4046	367	AX	AX	DNA repair protein REV1
17638at50557	NODE_8494:1-12470	494	AX	AX	patched domain-containing protein 3
17813at50557	NODE_3085:5291-11045	751	AX	AX	serine/threonine-protein kinase Tao
18170at50557	NODE_324:21509-33838	857	L	L	WASH complex subunit strumpellin
18400at50557	NODE_4488:6425-15342	574	AX	AX-L	striatin-interacting protein 1 homolog
18400at50557	NODE_55:106604-113831	619	L	AX-L	striatin-interacting protein 1 homolog
18450at50557	NODE_5202:5426-10266	769	AX	AX	probable ATP-dependent RNA helicase DDX46
18453at50557	NODE_825:3296-8971	531	L	L-Lk	Ral guanine nucleotide dissociation stimulator-like 1
18453at50557	NODE_580:46120-51956	468	Lk	L-Lk	Ral guanine nucleotide dissociation stimulator-like 1
18458at50557	NODE_2645:11214-27057	557	AX	AX	Zinc finger RNA-binding protein
18461at50557	NODE_13734:4596-7487	276	AX	AX	protein suppressor of forked
18561at50557	NODE_12596:1486-7495	683	AX	AX-L-L	Putative G-protein coupled receptor 158
18561at50557	NODE_38:87764-91335	682	L	AX-L-L	Putative G-protein coupled receptor 158
18561at50557	NODE_1049:10762-14614	678	L	AX-L-L	Putative G-protein coupled receptor 158
18575at50557	NODE_18073:1-5085	842	AX	AX	probable ATP-dependent RNA helicase DHX34
18605at50557	NODE_9663:211-5097	391	L	AX-L	Serine/threonine-protein phosphatase 4 regulatory subunit 3
18605at50557	NODE_12983:2876-6700	402	AX	AX-L	Serine/threonine-protein phosphatase 4 regulatory subunit 3
18619at50557	NODE_15364:1-6165	548	AX	AX	septin-interacting protein 1
18644at50557	NODE_8129:4726-12535	557	AX	AX	anaphase-promoting complex subunit 2
18668at50557	NODE_3571:12292-18708	424	AX	AX-L	Lipase, N-terminal
18668at50557	NODE_3180:3558-16856	425	L	AX-L	Lipase, N-terminal
19158at50557	NODE_3062:6499-16565	558	AX	AX	pre-mRNA-processing factor 39
19244at50557	NODE_7468:3361-8765	546	AX	AX-L-L	ATP-dependent DNA helicase Q4
19244at50557	NODE_181:27906-33636	523	L	AX-L-L	ATP-dependent DNA helicase Q4
19244at50557	NODE_4876:1819-19903	511	L	AX-L-L	ATP-dependent DNA helicase Q4
19262at50557	NODE_2780:19243-24309	776	L	L	integrator complex subunit 3 isoform X1
19276at50557	NODE_15735:1156-5510	600	AX	AX	integral membrane protein GPR155
19336at50557	NODE_1877:343-9085	464	AX	AX	Zinc finger C2H2 superfamily
19423at50557	NODE_6300:106-7168	534	AX	AX	Ankyrin repeat-containing domain
19653at50557	NODE_1451:30042-36112	547	AX	AX	protein patched
19754at50557	NODE_2696:293-4535	569	AX	AX	Vacuolar protein sorting-associated protein 41 homolog
20035at50557	NODE_16148:1-6102	728	AX	AX-AX	presequence protease, mitochondrial
20035at50557	NODE_17035:1-4295	744	AX	AX-AX	presequence protease, mitochondrial
20198at50557	NODE_279:8465-29291	550	AX	AX	SCAR/WAVE family
20283at50557	NODE_7185:7006-14285	732	AX	AX	symplekin
20299at50557	NODE_859:35749-53067	475	L	AX-L	C2 domain
20299at50557	NODE_1097:19567-44634	495	AX	AX-L	C2 domain
20375at50557	NODE_1276:32690-37950	425	L	AX-L	Rad4 beta-hairpin domain 1
20375at50557	NODE_1731:29434-37855	306	AX	AX-L	Rad4 beta-hairpin domain 1
20404at50557	NODE_5327:671-4113	658	AX	AX	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
20515at50557	NODE_417:58436-68808	659	AX	AX	Aminopeptidase
20640at50557	NODE_96:1-8086	789	L	AX-L	vinculin isoform X1
20640at50557	NODE_733:263-5815	784	AX	AX-L	vinculin isoform X1
20805at50557	NODE_17926:8-5325	308	AX	AX-L	RNA polymerase II assembly factor Rtp1, C-terminal
20805at50557	NODE_393:28526-31544	388	L	AX-L	RNA polymerase II assembly factor Rtp1, C-terminal
20817at50557	NODE_3442:18109-22197	490	L	AX-L	phosphorylated CTD-interacting factor 1
20817at50557	NODE_19639:1142-4015	485	AX	AX-L	phosphorylated CTD-interacting factor 1
20997at50557	NODE_15994:1-5245	296	AX	AX	MyTH4 domain
21101at50557	NODE_4109:667-4395	780	AX	AX-L	Eukaryotic translation initiation factor 3 subunit C
21101at50557	NODE_132:48377-57878	785	L	AX-L	Eukaryotic translation initiation factor 3 subunit C
21322at50557	NODE_1053:42144-47561	228	AX	AX	segmentation protein cap'n'collar isoform X1
21580at50557	NODE_1375:18382-26094	605	AX	AX-L-L	Exocyst complex component
21580at50557	NODE_899:10908-15238	605	L	AX-L-L	Exocyst complex component
21580at50557	NODE_13813:1844-4493	634	L	AX-L-L	Exocyst complex component
21787at50557	NODE_2579:12-9584	524	AX	AX-L	Protein-tyrosine phosphatase receptor IA-2 ectodomain
21787at50557	NODE_280:45689-59760	550	L	AX-L	Protein-tyrosine phosphatase receptor IA-2 ectodomain
21911at50557	NODE_13549:1286-4799	448	AX	AX	mucolipin-3-like
22030at50557	NODE_3643:1-3675	330	AX	AX	WD40-repeat-containing domain
22096at50557	NODE_60:93266-108044	514	Lc	Lc	importin-11
22300at50557	NODE_1620:1896-8151	439	L	L	glycine--tRNA ligase
22348at50557	NODE_16592:1349-5899	562	AX	AX	Zona pellucida domain
22613at50557	NODE_4752:10684-20295	764	AX	AX	Thrombospondin type-1 (TSP1) repeat
22661at50557	NODE_17128:1291-4703	519	AX	AX-L	CCAAT/enhancer-binding protein zeta
22661at50557	NODE_397:51871-60950	500	L	AX-L	CCAAT/enhancer-binding protein zeta
22706at50557	NODE_10108:1072-8833	551	AX	AX	RINT1-like protein
22836at50557	NODE_18754:266-4131	540	AX	AX	Autophagy-related protein 9
22862at50557	NODE_16852:1404-4115	671	AX	AX	Putative rRNA methyltransferase
23294at50557	NODE_163:83738-87956	471	L	AX-L	N-terminal kinase-like protein
23294at50557	NODE_2250:1712-9575	474	AX	AX-L	N-terminal kinase-like protein
23366at50557	NODE_2171:3444-32868	539	AX	AX	alpha-catulin
23620at50557	NODE_9793:1136-10364	501	AX	AX	ribosome biogenesis protein BOP1 homolog
23633at50557	NODE_26989:22-2305	334	AX	AX	F-box only protein 42
23788at50557	NODE_340:51372-56619	364	L	AX-L	lateral signaling target protein 2 homolog
23788at50557	NODE_4688:7001-16967	441	AX	AX-L	lateral signaling target protein 2 homolog
23817at50557	NODE_5866:11310-15837	447	AX	AX	pyridoxal-dependent decarboxylase domain-containing protein 1
23929at50557	NODE_12131:694-8575	342	AX	AX-L	Bromodomain-containing protein 7
23929at50557	NODE_5505:1-2836	394	L	AX-L	Bromodomain-containing protein 7
24096at50557	NODE_3628:686-4695	610	AX	AX	UPF0505 protein C16orf62 homolog
24138at50557	NODE_7886:223-5662	594	AX	AX	probable RNA-binding protein 19
24606at50557	NODE_1324:14681-18307	502	Lk	AX-L-Lk	uncharacterized protein LOC109608713
24606at50557	NODE_5698:3409-10740	502	AX	AX-L-Lk	uncharacterized protein LOC109608713
24606at50557	NODE_8114:4070-7925	501	L	AX-L-Lk	uncharacterized protein LOC109608713
24884at50557	NODE_22196:587-3775	497	AX	AX	tetratricopeptide repeat protein 30A
24998at50557	NODE_1571:16433-24336	457	AX	AX-Lk	Protein kintoun
24998at50557	NODE_911:23816-27658	485	Lk	AX-Lk	Protein kintoun
25127at50557	NODE_5293:13425-17372	478	Lk	L-Lk	transportin-3
25127at50557	NODE_1751:9178-19098	395	L	L-Lk	transportin-3
25500at50557	NODE_1837:18019-21042	528	L	AX-L	WD40-repeat-containing domain
25500at50557	NODE_3628:5446-9605	520	AX	AX-L	WD40-repeat-containing domain
25520at50557	NODE_6869:9093-12597	562	AX	AX	Exocyst complex component 7
25670at50557	NODE_1004:30887-34121	562	L	AX-L	lysine-specific histone demethylase 1A
25670at50557	NODE_514:56755-60605	591	AX	AX-L	lysine-specific histone demethylase 1A
25673at50557	NODE_6717:754-2917	453	AX	AX	protein-associating with the carboxyl-terminal domain of ezrin
25718at50557	NODE_9888:1-8945	830	AX	AX	Leucine-rich repeat
25910at50557	NODE_3214:9464-12286	597	L	AX-L	ATP-dependent RNA helicase Ddx1
25910at50557	NODE_10142:470-6135	598	AX	AX-L	ATP-dependent RNA helicase Ddx1
25937at50557	NODE_4577:4806-8393	525	AX	AX	ATP-binding cassette sub-family E member 1
25981at50557	NODE_3025:15525-27446	549	AX	AX	translocation protein SEC63 homolog
26016at50557	NODE_18706:10-3721	447	AX	AX	tRNA (cytosine(34)-C(5))-methyltransferase
26217at50557	NODE_1672:17450-20873	492	L	L-L	methyltransferase-like protein 13
26217at50557	NODE_1314:8614-11451	497	L	L-L	methyltransferase-like protein 13
26388at50557	NODE_2770:25330-28943	552	AX	AX	histone-lysine N-methyltransferase E(z) isoform X1
26394at50557	NODE_3575:636-9890	342	AX	AX	Cadherin
26432at50557	NODE_555:29995-50199	226	AX	AX	PDZ and LIM domain protein Zasp isoform X1
26604at50557	NODE_571:47263-62363	777	L	AX-L	trafficking protein particle complex subunit 11
26604at50557	NODE_4816:3411-9025	797	AX	AX-L	trafficking protein particle complex subunit 11
26645at50557	NODE_58:1525-3650	416	L	L-L	UbiB domain
26645at50557	NODE_9129:173-2425	403	L	L-L	UbiB domain
26770at50557	NODE_2507:22376-26702	417	AX	AX	GPI transamidase component PIG-T
26870at50557	NODE_16596:678-3668	447	AX	AX	cell division cycle protein 23 homolog
27086at50557	NODE_9474:2020-9395	597	AX	AX	heat shock 70 kDa protein 4 isoform X1
27130at50557	NODE_13965:1236-6740	561	AX	AX	glycosylphosphatidylinositol anchor attachment 1 protein
27499at50557	NODE_19547:914-4375	475	AX	AX	N-alpha-acetyltransferase 15, NatA auxiliary subunit
27606at50557	NODE_6315:1086-15608	404	AX	AX	Homeobox domain
27630at50557	NODE_5046:14266-19340	558	L	AX-L	ADAM 17-like protease
27630at50557	NODE_10035:1-7145	589	AX	AX-L	ADAM 17-like protease
27737at50557	NODE_3398:2556-7540	494	L	AX-L	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
27737at50557	NODE_3315:12538-15626	500	AX	AX-L	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
27943at50557	NODE_19512:1790-4742	348	AX	AX	vacuolar protein sorting-associated protein 51 homolog
28081at50557	NODE_760:49130-54602	437	AX	AX	TBC1 domain family member 23
28379at50557	NODE_4384:9518-19233	533	AX	AX	uncharacterized protein LOC100120271
28428at50557	NODE_1888:16930-19726	375	AX	AX-AX	Histone-arginine methyltransferase CARMER
28428at50557	NODE_21302:823-3838	415	AX	AX-AX	Histone-arginine methyltransferase CARMER
28429at50557	NODE_12407:744-8251	381	AX	AX	Set1/Ash2 histone methyltransferase complex subunit ASH2
28503at50557	NODE_221:67321-72093	908	AX	AX	trafficking protein particle complex subunit 10
28555at50557	NODE_13777:3196-5400	456	AX	AX	vacuolar protein sorting-associated protein 33A
28600at50557	NODE_847:1132-7455	488	AX	AX	Mitochondrial Rho GTPase
28678at50557	NODE_566:290-11205	509	AX	AX	Solute carrier organic anion transporter family member
28761at50557	NODE_3079:13147-22562	566	AX	AX-L	exocyst complex component 5
28761at50557	NODE_297:70014-72853	566	L	AX-L	exocyst complex component 5
28783at50557	NODE_7232:5914-11821	645	AX	AX	homeobox protein cut isoform X1
28875at50557	NODE_125:78950-92441	531	L	AX-L	protein TRC8 homolog
28875at50557	NODE_2227:2936-11364	467	AX	AX-L	protein TRC8 homolog
28907at50557	NODE_8177:8188-11453	484	AX	AX-L	nucleolar complex protein 2 homolog
28907at50557	NODE_859:17885-20413	470	L	AX-L	nucleolar complex protein 2 homolog
28921at50557	NODE_9348:6700-9685	680	AX	AX	vacuolar protein sorting-associated protein 53 homolog
29091at50557	NODE_1:38695-48108	521	L	L	conserved oligomeric Golgi complex subunit 6
29312at50557	NODE_1324:21191-25621	621	Lk	AX-L-Lk	ATP-dependent RNA helicase DDX42
29312at50557	NODE_593:15033-18912	594	AX	AX-L-Lk	ATP-dependent RNA helicase DDX42
29312at50557	NODE_86:76582-82170	554	L	AX-L-Lk	ATP-dependent RNA helicase DDX42
29319at50557	NODE_10476:1-9035	472	AX	AX	conserved oligomeric Golgi complex subunit 2
29422at50557	NODE_1524:16694-24232	431	L	L	vacuolar protein sorting-associated protein 8 homolog
29534at50557	NODE_1280:38968-42568	541	AX	AX-Lk	Mediator of RNA polymerase II transcription subunit 17
29534at50557	NODE_911:40698-44772	542	Lk	AX-Lk	Mediator of RNA polymerase II transcription subunit 17
29608at50557	NODE_3170:18428-21122	543	L	AX-L	exocyst complex component 8
29608at50557	NODE_13575:2437-5715	533	AX	AX-L	exocyst complex component 8
29657at50557	NODE_1697:12078-15460	211	AX	AX	zinc finger protein 598
29671at50557	NODE_1013:36134-38899	718	AX	AX	neurochondrin homolog
29957at50557	NODE_2971:5736-8410	538	AX	AX-L	Arginyl tRNA synthetase N-terminal domain
29957at50557	NODE_5435:14142-18308	523	L	AX-L	Arginyl tRNA synthetase N-terminal domain
30050at50557	NODE_180:2995-8325	587	L	AX-L	protein bicaudal D
30050at50557	NODE_948:34291-42108	623	AX	AX-L	protein bicaudal D
30211at50557	NODE_1049:3812-10336	485	L	AX-L-L	solute carrier family 12 member 8
30211at50557	NODE_6483:380-5195	485	AX	AX-L-L	solute carrier family 12 member 8
30211at50557	NODE_13377:3748-7022	503	L	AX-L-L	solute carrier family 12 member 8
30301at50557	NODE_26:2829-6835	558	Lk	AX-Lk	mitochondrial intermediate peptidase
30301at50557	NODE_12044:566-5579	558	AX	AX-Lk	mitochondrial intermediate peptidase
30308at50557	NODE_9157:1-6135	391	AX	AX	nuclear hormone receptor FTZ-F1 beta
30407at50557	NODE_6172:9096-12742	490	AX	AX	Protein arginine N-methyltransferase
30467at50557	NODE_2767:3476-6188	613	AX	AX-L-L	Eukaryotic translation initiation factor 3 subunit B
30467at50557	NODE_978:34809-42519	608	L	AX-L-L	Eukaryotic translation initiation factor 3 subunit B
30467at50557	NODE_2245:22487-26968	613	L	AX-L-L	Eukaryotic translation initiation factor 3 subunit B
30640at50557	NODE_11610:3316-7016	652	AX	AX	small G protein signaling modulator 3 homolog
30720at50557	NODE_2709:21388-24784	582	AX	AX	1,4-alpha-glucan-branching enzyme
30738at50557	NODE_182:18869-23489	645	L	L-L	xylosyltransferase oxt
30738at50557	NODE_9781:4736-10915	582	L	L-L	xylosyltransferase oxt
30983at50557	NODE_7691:2346-4916	588	Lk	AX-Lk	protein crooked neck
30983at50557	NODE_17505:2703-5425	588	AX	AX-Lk	protein crooked neck
31096at50557	NODE_26108:9-3103	395	AX	AX-L	LMBR1 domain-containing protein 2 homolog
31096at50557	NODE_395:50492-62221	393	L	AX-L	LMBR1 domain-containing protein 2 homolog
31141at50557	NODE_886:37759-48333	253	AX	AX	caskin-1 isoform X1
31358at50557	NODE_13036:1026-7875	627	AX	AX	TBC1 domain family member 1 isoform X1
31374at50557	NODE_21:31050-33712	568	L	L	transcription initiation factor TFIID subunit 5
31645at50557	NODE_848:41174-43356	440	L	AX-L-L	bifunctional purine biosynthesis protein PURH
31645at50557	NODE_1334:30172-33144	490	AX	AX-L-L	bifunctional purine biosynthesis protein PURH
