BUSCI_id	GRC_1	GRC_2	Core_genome	GRC_1_len	GRC_2_len	Core_len
75818at50557	sciaridae	cecidomyiidae	sciaridae	0.0279339148	0.0654110787	0.0015931522
75832at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1227731307	0.0538911066	0.0073875998
78072at50557	cecidomyiidae	sciaridae	sciaridae	0.1036904988	0.076814435	0.0071102433
78394at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0162080433	0.0058928427	2.3338e-06
79760at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0360902556	0.0365728417	0.0049467219
80760at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1428421274	0.0750369299	1e-06
81330at50557	cecidomyiidae	sciaridae	sciaridae	0.0680764041	0.0948093404	0.0086740072
83301at50557	cecidomyiidae	sciaridae	sciaridae	0.303744572	0.0203168113	0.0050201932
83860at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.214638379	0.2035269095	0.0634000024
85903at50557	cecidomyiidae	sciaridae	sciaridae	0.434626512	0.0882581516	0.0375681988
88227at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0426811065	0.0716153851	0.0142488173
888at50557	sciaridae	cecidomyiidae	sciaridae	0.0881257345	0.0922858867	0.0371597024
90744at50557	cecidomyiidae	other	sciaridae	0.0494993183	1.0573121574	0.0107724662
90885at50557	sciaridae	cecidomyiidae	sciaridae	0.0203089956	0.0525675568	0.0373511247
93063at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1474536466	0.1076091809	0.0247115905
97391at50557	sciaridae	cecidomyiidae	sciaridae	0.0656247862	0.1678247463	0.0506569476
98383at50557	cecidomyiidae	sciaridae	sciaridae	0.6369162229	0.0977549934	0.1029884392
99019at50557	cecidomyiidae	other	sciaridae	0.1026189971	1.4219709164	0.0318018999
100138at50557	cecidomyiidae	NA	sciaridae	0.8612151598	-1	0.2576696746
100901at50557	cecidomyiidae	NA	sciaridae	0.2112576156	-1	0.0684076163
101190at50557	cecidomyiidae	NA	sciaridae	0.2664861257	-1	0.005714165
101448at50557	sciaridae	NA	sciaridae	0.0841798846	-1	0.0677121232
101706at50557	cecidomyiidae	NA	sciaridae	0.2211095948	-1	0.0727584423
101800at50557	cecidomyiidae	NA	sciaridae	0.5180961675	-1	0.0763335309
102020at50557	cecidomyiidae	NA	sciaridae	0.2413600251	-1	0.0443947053
102079at50557	cecidomyiidae	NA	sciaridae	0.0766872053	-1	0.0289951594
102433at50557	cecidomyiidae	NA	sciaridae	0.127165023	-1	0.0303679408
102440at50557	cecidomyiidae	NA	sciaridae	0.0888708701	-1	2.7141e-06
102517at50557	cecidomyiidae	NA	sciaridae	0.4347985605	-1	0.0247290651
102704at50557	cecidomyiidae	NA	sciaridae	0.1272048969	-1	0.0194450712
102920at50557	cecidomyiidae	NA	sciaridae	0.1897900998	-1	0.0269331809
104265at50557	cecidomyiidae	NA	sciaridae	0.1757051536	-1	0.0205894954
104302at50557	cecidomyiidae	NA	sciaridae	0.025232674	-1	0.0037021814
104460at50557	cecidomyiidae	NA	sciaridae	0.3097588464	-1	0.1578755168
104526at50557	sciaridae	NA	sciaridae	0.1362710904	-1	0.2762756312
104832at50557	sciaridae	NA	sciaridae	0.1537860997	-1	0.0420611935
10664at50557	sciaridae	NA	sciaridae	0.0525857765	-1	0.0490180775
107216at50557	cecidomyiidae	NA	sciaridae	0.0184189626	-1	1.0134e-06
107632at50557	sciaridae	NA	sciaridae	0.1196067676	-1	0.045249872
108301at50557	cecidomyiidae	NA	sciaridae	0.2995222069	-1	0.0975440367
108452at50557	other	NA	sciaridae	0.2347833079	-1	0.0313531308
108799at50557	cecidomyiidae	NA	sciaridae	0.393341128	-1	2.5934e-06
109102at50557	cecidomyiidae	NA	sciaridae	0.0323373785	-1	0.0047927504
109142at50557	sciaridae	NA	sciaridae	0.1932898041	-1	0.0193366868
109586at50557	cecidomyiidae	NA	sciaridae	0.2960057484	-1	0.109139162
109593at50557	sciaridae	NA	sciaridae	2.3601e-06	-1	0.0120021741
109613at50557	cecidomyiidae	NA	sciaridae	0.7869739532	-1	0.0952253734
109797at50557	cecidomyiidae	NA	sciaridae	0.0365580969	-1	2.8109e-06
111170at50557	cecidomyiidae	NA	sciaridae	0.2775517415	-1	0.0632305678
11161at50557	sciaridae	NA	sciaridae	0.0199794972	-1	0.0168193152
111713at50557	sciaridae	NA	sciaridae	0.169518266	-1	0.1309343959
111718at50557	cecidomyiidae	NA	sciaridae	0.2632743841	-1	0.2042355128
111816at50557	cecidomyiidae	NA	sciaridae	0.0399099576	-1	0.014268778
111939at50557	other	NA	other	0.0700320704	-1	0.0166129968
112074at50557	sciaridae	NA	sciaridae	0.0269352867	-1	0.0345555272
112481at50557	sciaridae	NA	sciaridae	0.0598932916	-1	0.0176953981
112821at50557	sciaridae	NA	sciaridae	1.128435467	-1	0.2519019183
113878at50557	sciaridae	NA	sciaridae	0.0306407666	-1	0.0112261463
113923at50557	cecidomyiidae	NA	sciaridae	0.782916389	-1	0.0139208181
11478at50557	cecidomyiidae	NA	sciaridae	0.0666336947	-1	0.0052123731
115284at50557	cecidomyiidae	NA	sciaridae	0.1879970207	-1	0.0345798304
115348at50557	sciaridae	NA	sciaridae	0.1188836472	-1	0.1886748012
115613at50557	sciaridae	NA	sciaridae	0.0880390544	-1	0.1203679437
115818at50557	cecidomyiidae	NA	sciaridae	0.4850329369	-1	0.0781570129
116110at50557	sciaridae	NA	sciaridae	0.0732164643	-1	0.0317273055
11763at50557	cecidomyiidae	NA	sciaridae	0.1446863842	-1	0.0184835007
117973at50557	cecidomyiidae	NA	sciaridae	0.2966226735	-1	0.13851758
118166at50557	cecidomyiidae	NA	sciaridae	0.3142847073	-1	0.0477531751
118237at50557	other	NA	sciaridae	0.026923962	-1	1e-06
118259at50557	cecidomyiidae	NA	sciaridae	0.0931053456	-1	0.0207446836
118728at50557	cecidomyiidae	NA	sciaridae	0.1655654086	-1	0.0337070566
119037at50557	cecidomyiidae	NA	sciaridae	0.5250269564	-1	0.0251345134
119123at50557	sciaridae	NA	sciaridae	0.2508371714	-1	0.0938309821
119455at50557	cecidomyiidae	NA	sciaridae	0.2973492688	-1	0.0055269687
119786at50557	cecidomyiidae	NA	sciaridae	0.3903300669	-1	0.1120935746
119796at50557	cecidomyiidae	NA	sciaridae	0.2374612945	-1	0.0722443021
120070at50557	sciaridae	NA	sciaridae	0.0231600336	-1	0.0096718244
120382at50557	cecidomyiidae	NA	sciaridae	0.7753538764	-1	0.1313289695
120498at50557	sciaridae	NA	sciaridae	0.0633322057	-1	0.1822838925
120544at50557	sciaridae	NA	sciaridae	0.0176126283	-1	0.009159696
120658at50557	cecidomyiidae	NA	sciaridae	0.1106339011	-1	0.037045437
121418at50557	cecidomyiidae	NA	sciaridae	0.4868584093	-1	0.0222639417
121522at50557	other	NA	sciaridae	0.0544705426	-1	0.0047941306
122192at50557	sciaridae	NA	sciaridae	0.1522330515	-1	0.0577756915
122330at50557	sciaridae	NA	sciaridae	0.0535184076	-1	0.0124185013
122647at50557	cecidomyiidae	NA	sciaridae	0.0266378376	-1	1.1953e-06
123110at50557	sciaridae	NA	sciaridae	0.1589071051	-1	0.0375360672
123703at50557	sciaridae	NA	sciaridae	0.0727956691	-1	0.0114785512
124154at50557	cecidomyiidae	NA	sciaridae	0.171349061	-1	0.1072768857
124342at50557	cecidomyiidae	NA	sciaridae	0.4249329921	-1	0.1640248434
124433at50557	cecidomyiidae	NA	sciaridae	0.057742942	-1	0.1127410905
124486at50557	sciaridae	NA	sciaridae	0.0234957542	-1	0.0493465916
125026at50557	cecidomyiidae	NA	sciaridae	0.0632434825	-1	0.0196454406
125117at50557	cecidomyiidae	NA	sciaridae	0.031374997	-1	1.002e-06
125548at50557	cecidomyiidae	NA	sciaridae	0.0490789337	-1	1e-06
126375at50557	cecidomyiidae	NA	sciaridae	0.0559975169	-1	0.086224856
126384at50557	cecidomyiidae	NA	sciaridae	0.5601905132	-1	0.0591155527
126448at50557	cecidomyiidae	NA	sciaridae	0.0703519566	-1	0.0120731253
12735at50557	cecidomyiidae	NA	sciaridae	0.1794449811	-1	0.0050361183
127694at50557	cecidomyiidae	NA	sciaridae	0.0836372208	-1	0.0092401081
127753at50557	cecidomyiidae	NA	sciaridae	0.1985661332	-1	0.0061654243
128131at50557	cecidomyiidae	NA	sciaridae	0.1814559572	-1	0.0379149329
128416at50557	cecidomyiidae	NA	sciaridae	0.4346098575	-1	0.0582278453
128474at50557	cecidomyiidae	NA	sciaridae	0.0740837205	-1	0.0094377655
128484at50557	cecidomyiidae	NA	sciaridae	0.3274688063	-1	0.0940305085
128856at50557	sciaridae	NA	sciaridae	0.1006790452	-1	2.0036e-06
129103at50557	cecidomyiidae	NA	sciaridae	0.0814741024	-1	2.534e-06
129272at50557	cecidomyiidae	NA	sciaridae	1.003e-06	-1	0.0180982568
129410at50557	cecidomyiidae	NA	sciaridae	0.4015220446	-1	0.0296726705
129503at50557	sciaridae	NA	sciaridae	0.0768221276	-1	0.0542776173
129755at50557	sciaridae	NA	sciaridae	0.0545363737	-1	0.1034121916
130497at50557	cecidomyiidae	NA	sciaridae	0.3847791253	-1	0.3345410041
130995at50557	sciaridae	NA	sciaridae	0.0835627542	-1	0.0577994416
13112at50557	cecidomyiidae	NA	sciaridae	0.2675324454	-1	0.0116738127
131759at50557	cecidomyiidae	NA	other	0.0429584535	-1	2.1624e-06
131987at50557	sciaridae	NA	sciaridae	0.0677329862	-1	0.1398226091
132044at50557	cecidomyiidae	NA	other	0.1308600072	-1	0.3927793079
132099at50557	cecidomyiidae	NA	sciaridae	0.1284769404	-1	0.0049497986
132160at50557	cecidomyiidae	NA	sciaridae	0.2857192449	-1	0.0303652923
132295at50557	cecidomyiidae	NA	sciaridae	0.3106960781	-1	0.0933439612
132612at50557	cecidomyiidae	NA	other	0.0169011592	-1	0.1040067196
132615at50557	cecidomyiidae	NA	sciaridae	0.1700299451	-1	0.0523399233
132744at50557	cecidomyiidae	NA	sciaridae	0.094499682	-1	1e-06
133543at50557	cecidomyiidae	NA	sciaridae	0.1860036602	-1	0.0820295666
133570at50557	sciaridae	NA	sciaridae	0.1384613937	-1	0.0748858427
133617at50557	cecidomyiidae	NA	sciaridae	0.3786686252	-1	0.0410976183
133719at50557	cecidomyiidae	NA	sciaridae	0.2013339106	-1	2.9291e-06
134021at50557	cecidomyiidae	NA	sciaridae	0.1942889241	-1	0.0466729494
134540at50557	cecidomyiidae	NA	sciaridae	0.0729715396	-1	0.1307937648
135688at50557	other	NA	sciaridae	0.2903028909	-1	1e-06
135872at50557	sciaridae	NA	sciaridae	0.4860238357	-1	0.0540061473
136030at50557	cecidomyiidae	NA	sciaridae	0.0843454324	-1	0.0302464022
136330at50557	cecidomyiidae	NA	sciaridae	0.2372932251	-1	0.0629633346
136971at50557	other	NA	other	0.0222169364	-1	1e-06
137151at50557	cecidomyiidae	NA	sciaridae	0.0985339672	-1	0.027928189
137402at50557	cecidomyiidae	NA	sciaridae	0.3396426382	-1	0.0390324376
13778at50557	sciaridae	NA	sciaridae	0.0960387998	-1	0.0220289424
138217at50557	cecidomyiidae	NA	sciaridae	0.2294869145	-1	0.0246819451
13828at50557	cecidomyiidae	NA	sciaridae	0.5690830629	-1	0.0379650005
13892at50557	cecidomyiidae	NA	sciaridae	0.1369911992	-1	0.0277536613
139167at50557	cecidomyiidae	NA	sciaridae	0.1663187221	-1	0.0151621412
139832at50557	sciaridae	NA	sciaridae	0.0360885524	-1	2.0154e-06
140285at50557	cecidomyiidae	NA	sciaridae	1.8858306062	-1	0.0254962296
140706at50557	cecidomyiidae	NA	sciaridae	0.2110010235	-1	1e-06
141201at50557	cecidomyiidae	NA	sciaridae	0.3927673714	-1	0.0610018404
141970at50557	cecidomyiidae	NA	sciaridae	0.4470327771	-1	0.1316615656
142467at50557	sciaridae	NA	sciaridae	0.1501580773	-1	0.0527056178
142607at50557	cecidomyiidae	NA	sciaridae	0.1959026872	-1	0.0388664532
142782at50557	other	NA	sciaridae	0.043923299	-1	1e-06
143030at50557	sciaridae	NA	sciaridae	0.1038747307	-1	1e-06
143282at50557	cecidomyiidae	NA	sciaridae	0.0615084906	-1	0.0157077391
143564at50557	sciaridae	NA	sciaridae	0.0789441589	-1	0.0313141166
144087at50557	cecidomyiidae	NA	sciaridae	0.0490543289	-1	1e-06
145096at50557	other	NA	sciaridae	0.0111621978	-1	1e-06
145210at50557	sciaridae	NA	sciaridae	0.1719151056	-1	0.0483713734
146597at50557	sciaridae	NA	sciaridae	0.1345809372	-1	0.0524550979
146677at50557	sciaridae	NA	sciaridae	0.017867828	-1	2.49e-06
147640at50557	cecidomyiidae	NA	other	1.4155774732	-1	2.3791e-06
14825at50557	cecidomyiidae	NA	sciaridae	0.3875866652	-1	0.051649223
148638at50557	cecidomyiidae	NA	sciaridae	0.2132673827	-1	0.0146273234
149193at50557	cecidomyiidae	NA	other	9.977e-07	-1	9.977e-07
149477at50557	cecidomyiidae	NA	sciaridae	0.0798391344	-1	0.1727976778
150510at50557	cecidomyiidae	NA	sciaridae	0.3052104851	-1	0.012539612
150643at50557	other	NA	other	0.0	-1	0.0
151618at50557	cecidomyiidae	NA	sciaridae	0.6718458139	-1	0.050781059
151709at50557	cecidomyiidae	NA	sciaridae	0.0889981135	-1	0.0086192833
15445at50557	cecidomyiidae	NA	sciaridae	0.097277874	-1	0.0162256627
15589at50557	sciaridae	NA	sciaridae	0.0621309212	-1	0.0019064916
18605at50557	cecidomyiidae	NA	sciaridae	0.2738935543	-1	0.0043154304
18668at50557	sciaridae	NA	sciaridae	0.0350512068	-1	0.0374523109
20299at50557	cecidomyiidae	NA	sciaridae	0.1475603772	-1	0.0183874612
20375at50557	cecidomyiidae	NA	sciaridae	0.3801689125	-1	0.06050878
20640at50557	cecidomyiidae	NA	sciaridae	0.0495955379	-1	9.998e-07
20805at50557	sciaridae	NA	sciaridae	0.3173036009	-1	0.0960363944
20817at50557	cecidomyiidae	NA	sciaridae	0.1091764616	-1	0.0070170755
21101at50557	sciaridae	NA	sciaridae	0.077056414	-1	0.0189497225
21787at50557	sciaridae	NA	sciaridae	1.3277959721	-1	0.0200712759
22661at50557	cecidomyiidae	NA	sciaridae	0.2582386832	-1	0.0675623932
23294at50557	cecidomyiidae	NA	sciaridae	0.0521787401	-1	0.0151322596
23788at50557	cecidomyiidae	NA	sciaridae	0.3687200105	-1	0.0365856654
23929at50557	cecidomyiidae	NA	sciaridae	0.2246212018	-1	0.0081150789
25500at50557	cecidomyiidae	NA	sciaridae	0.0656283467	-1	0.0107821466
25670at50557	cecidomyiidae	NA	sciaridae	0.3099511486	-1	0.0341192113
25910at50557	cecidomyiidae	NA	sciaridae	0.1020175631	-1	0.0266255679
26604at50557	sciaridae	NA	sciaridae	0.1346293676	-1	0.0360248208
27630at50557	cecidomyiidae	NA	sciaridae	0.3964356551	-1	0.0468751688
27737at50557	cecidomyiidae	NA	sciaridae	0.2088561114	-1	0.0252331729
2843at50557	cecidomyiidae	NA	sciaridae	0.3095003996	-1	0.0344725749
28761at50557	cecidomyiidae	NA	sciaridae	0.0811222035	-1	0.0080080972
28875at50557	cecidomyiidae	NA	sciaridae	0.9461891214	-1	0.0233604621
28907at50557	cecidomyiidae	NA	sciaridae	0.3227854646	-1	2.251e-06
29534at50557	sciaridae	NA	sciaridae	0.027871574	-1	0.0053787336
29608at50557	cecidomyiidae	NA	sciaridae	0.1483178099	-1	0.0273061642
29957at50557	cecidomyiidae	NA	sciaridae	0.200926246	-1	0.0551859
30050at50557	cecidomyiidae	NA	sciaridae	0.0328059216	-1	0.012665199
30301at50557	cecidomyiidae	NA	sciaridae	0.0797012565	-1	0.019485728
30983at50557	cecidomyiidae	NA	sciaridae	0.1843516621	-1	0.0196728495
31096at50557	sciaridae	NA	sciaridae	0.2066366317	-1	0.0351337627
31685at50557	cecidomyiidae	NA	sciaridae	0.1642428928	-1	0.0592055228
32224at50557	cecidomyiidae	NA	sciaridae	0.2128242419	-1	0.0206816127
32803at50557	cecidomyiidae	NA	sciaridae	0.116969261	-1	0.0330998056
33009at50557	sciaridae	NA	sciaridae	0.0287671533	-1	0.0767473159
33226at50557	cecidomyiidae	NA	sciaridae	0.2733908741	-1	0.0097943279
33894at50557	cecidomyiidae	NA	sciaridae	0.4597050384	-1	0.0273618514
34505at50557	cecidomyiidae	NA	sciaridae	0.2032082859	-1	0.0518354055
34630at50557	cecidomyiidae	NA	sciaridae	0.6187976613	-1	0.0961086737
35385at50557	cecidomyiidae	NA	sciaridae	0.0687294578	-1	0.0103427942
3565at50557	cecidomyiidae	NA	sciaridae	0.1956537692	-1	0.0137832665
35768at50557	cecidomyiidae	NA	sciaridae	0.0956454308	-1	0.0044633019
36552at50557	sciaridae	NA	sciaridae	0.1228900111	-1	0.0373621263
37042at50557	cecidomyiidae	NA	sciaridae	0.690565969	-1	0.2036729617
39005at50557	cecidomyiidae	NA	sciaridae	0.3772588373	-1	0.0149247869
40442at50557	cecidomyiidae	NA	sciaridae	0.1651742726	-1	0.0243684878
40757at50557	sciaridae	NA	sciaridae	0.0242698286	-1	0.0110999285
41499at50557	cecidomyiidae	NA	sciaridae	0.2362990163	-1	0.0206217559
41512at50557	cecidomyiidae	NA	sciaridae	0.1266438828	-1	0.0369504133
41755at50557	cecidomyiidae	NA	sciaridae	0.1880556626	-1	0.0335710528
41766at50557	cecidomyiidae	NA	sciaridae	0.0476886208	-1	0.0091460916
42026at50557	cecidomyiidae	NA	sciaridae	0.0878971448	-1	0.0356892989
42153at50557	cecidomyiidae	NA	sciaridae	0.2161497324	-1	2.174e-06
42193at50557	cecidomyiidae	NA	sciaridae	0.2403540128	-1	0.0159464522
42255at50557	cecidomyiidae	NA	sciaridae	0.2565406126	-1	0.0087407952
42752at50557	cecidomyiidae	NA	sciaridae	0.2992852955	-1	0.0487244237
42982at50557	cecidomyiidae	NA	other	0.267592272	-1	0.6841718418
43304at50557	cecidomyiidae	NA	sciaridae	0.487532069	-1	0.0367340205
43374at50557	cecidomyiidae	NA	sciaridae	0.3389097897	-1	0.0143015622
43564at50557	cecidomyiidae	NA	sciaridae	0.010282563	-1	9.982e-07
44288at50557	cecidomyiidae	NA	sciaridae	0.0851071186	-1	0.0402755221
45914at50557	cecidomyiidae	NA	sciaridae	1.0692235324	-1	1.6677213245
45940at50557	sciaridae	NA	sciaridae	0.154707417	-1	0.0525168966
46658at50557	cecidomyiidae	NA	sciaridae	0.0804974133	-1	0.0282095234
46918at50557	cecidomyiidae	NA	sciaridae	0.2608123452	-1	0.0494178956
48331at50557	cecidomyiidae	NA	sciaridae	0.2013724165	-1	0.0252584911
48864at50557	cecidomyiidae	NA	sciaridae	0.1842067641	-1	0.0029802373
49600at50557	sciaridae	NA	sciaridae	0.1885400246	-1	0.0169326936
51542at50557	cecidomyiidae	NA	sciaridae	0.2406840888	-1	0.0342931242
51851at50557	cecidomyiidae	NA	sciaridae	0.0353852914	-1	0.0052771205
52437at50557	cecidomyiidae	NA	sciaridae	0.0894773524	-1	0.0202984036
52703at50557	sciaridae	NA	sciaridae	0.0145706964	-1	0.002224919
52845at50557	cecidomyiidae	NA	sciaridae	0.433917668	-1	0.0711250943
53250at50557	sciaridae	NA	sciaridae	0.1331498493	-1	0.0441678063
54603at50557	cecidomyiidae	NA	sciaridae	0.1990527305	-1	0.0390334837
54757at50557	cecidomyiidae	NA	sciaridae	0.2354778458	-1	0.0167492537
55303at50557	cecidomyiidae	NA	sciaridae	0.1860052709	-1	0.0483998999
55628at50557	cecidomyiidae	NA	sciaridae	0.180395744	-1	0.0313352645
56099at50557	sciaridae	NA	sciaridae	0.0447426655	-1	0.020665419
57149at50557	cecidomyiidae	NA	sciaridae	0.6382800522	-1	0.1135410141
57752at50557	cecidomyiidae	NA	sciaridae	0.1532518947	-1	0.0693273939
57786at50557	cecidomyiidae	NA	sciaridae	0.3132230834	-1	0.0061143311
58203at50557	other	NA	other	0.0160214895	-1	9.942e-07
58961at50557	cecidomyiidae	NA	sciaridae	0.0630535809	-1	0.1077462745
60261at50557	sciaridae	NA	sciaridae	0.0373690861	-1	0.0026996743
60993at50557	cecidomyiidae	NA	sciaridae	0.1765325378	-1	0.0907732436
61176at50557	cecidomyiidae	NA	sciaridae	0.2378670666	-1	0.0500304208
61442at50557	cecidomyiidae	NA	sciaridae	0.1736962947	-1	0.0302886763
62569at50557	cecidomyiidae	NA	sciaridae	0.1428210117	-1	0.0274503535
62733at50557	cecidomyiidae	NA	sciaridae	0.3486913166	-1	0.002717831
63395at50557	cecidomyiidae	NA	sciaridae	0.4307450214	-1	0.0837814594
63655at50557	sciaridae	NA	sciaridae	0.0452294936	-1	0.0104699399
63767at50557	cecidomyiidae	NA	sciaridae	0.066759248	-1	0.0380103818
6416at50557	sciaridae	NA	sciaridae	0.0144125707	-1	0.0064148717
64749at50557	cecidomyiidae	NA	sciaridae	0.2982787261	-1	0.045248622
64976at50557	cecidomyiidae	NA	sciaridae	0.2965379267	-1	0.0380824395
65263at50557	cecidomyiidae	NA	sciaridae	0.2591612345	-1	0.0337248888
66318at50557	cecidomyiidae	NA	sciaridae	0.2036705629	-1	0.1346177686
66427at50557	cecidomyiidae	NA	sciaridae	0.0732137214	-1	0.0096241963
